iter	Passed	Remaining
1601	7017	14883
1602	7020	14878
1603	7023	14871
1604	7026	14863
1605	7031	14860
1606	7036	14856
1607	7039	14849
1608	7042	14841
1609	7046	14836
1610	7051	14833
1611	7054	14826
1612	7057	14818
1613	7060	14812
1614	7065	14809
1615	7069	14803
1616	7072	14795
1617	7074	14788
1618	7080	14786
1619	7084	14782
1620	7087	14774
1621	7090	14767
1622	7095	14763
1623	7099	14759
1624	7102	14751
1625	7105	14744
1626	7109	14739
1627	7115	14737
1628	7118	14730
1629	7121	14722
1630	7124	14716
1631	7129	14714
1632	7133	14708
1633	7136	14700
1634	7139	14693
1635	7144	14690
1636	7148	14685
1637	7151	14678
1638	7154	14670
1639	7158	14667
1640	7163	14663
1641	7167	14657
1642	7170	14649
1643	7174	14644
1644	7179	14642
1645	7182	14635
1646	7185	14629
1647	7189	14623
1648	7194	14620
1649	7198	14615
1650	7201	14608
1651	7205	14602
1652	7209	14597
1653	7213	14592
1654	7216	14586
1655	7220	14579
1656	7224	14575
1657	7228	14571
1658	7232	14566
1659	7238	14563
1660	7242	14559
1661	7246	14554
1662	7250	14548
1663	7259	14553
1664	7262	14547
1665	7265	14540
1666	7268	14533
1667	7275	14532
1668	7278	14526
1669	7281	14519
1670	7284	14511
1671	7288	14507
1672	7293	14504
1673	7296	14496
1674	7299	14489
1675	7304	14486
1676	7308	14482
